,Montana,"11,452 ","11,364 ",99.2 ,732 ,6.4 ,677 ,5.9 ,823 ,100.0 
,Nebraska,"25,331 ","25,254 ",99.7 ,"1,432 ",5.7 ,"1,276 ",5.0 ,"1,055 ",100.0 
,Nevada,"24,965 ","23,873 ",95.6 ,"1,180 ",4.7 ,"1,483 ",5.9 ,704 ,100.0 
,New Hampshire,"15,102 ","14,819 ",98.1 ,632 ,4.2 ,599 ,4.0 ,491 ,100.0 
,New Jersey,"120,592 ","117,236 ",97.2 ,"6,347 ",5.3 ,"6,708 ",5.6 ,"2,561 ",100.0 
,New Mexico,"21,823 ","21,097 ",96.7 ,"1,641 ",7.5 ,"1,016 ",4.7 ,866 ,100.0 
,New York,"229,086 ","223,758 ",97.7 ,"12,755 ",5.6 ,"10,735 ",4.7 ,"4,873 ",100.0 
,North Carolina,"125,048 ","110,226 ",88.1 ,"3,086 ",2.5 ,"5,285 ",4.2 ,"2,661 ",100.0 
,North Dakota,"9,414 ","9,364 ",99.5 ,534 ,5.7 ,492 ,5.2 ,483 ,100.0 
,Ohio,"108,454 ","107,912 ",99.5 ,"4,689 ",4.3 ,"4,594 ",4.2 ,"3,593 ",100.0 
,Oklahoma,"42,829 ","42,631 ",99.5 ,"2,969 ",6.9 ,"2,083 ",4.9 ,"1,816 ",100.0 
,Oregon,"29,911 ","29,530 ",98.7 ,"1,705 ",5.7 ,"1,395 ",4.7 ,"1,289 ",100.0 
,Pennsylvania,"123,099 ","121,745 ",98.9 ,"5,589 ",4.5 ,"5,991 ",4.9 ,"3,006 ",100.0 
,Rhode Island,"11,446 ","11,266 ",98.4 ,458 ,4.0 ,676 ,5.9 ,312 ,100.0 
,South Carolina,"52,234 ","51,602 ",98.8 ,"3,059 ",5.9 ,"2,541 ",4.9 ,"1,243 ",100.0 
,South Dakota,"10,153 ","10,082 ",99.3 ,548 ,5.4 ,477 ,4.7 ,698 ,100.0 
,Tennessee,"68,359 ","66,876 ",97.8 ,"4,558 ",6.7 ,"3,494 ",5.1 ,"1,777 ",100.0 
,Texas,"363,969 ","355,272 ",97.6 ,"29,932 ",8.2 ,"26,734 ",7.3 ,"8,758 ",100.0 
,Utah,"30,356 ","28,946 ",95.4 ,"2,692 ",8.9 ,"3,195 ",10.5 ,"1,029 ",100.0 
,Vermont,"8,016 ","7,918 ",98.8 ,394 ,4.9 ,341 ,4.3 ,302 ,100.0 
,Virginia,"94,149 ","90,393 ",96.0 ,"5,464 ",5.8 ,"4,682 ",5.0 ,"1,982 ",100.0 
,Washington,"60,545 ","60,077 ",99.2 ,"2,172 ",3.6 ,"3,007 ",5.0 ,"2,339 ",100.0 
,West Virginia,"17,985 ","17,527 ",97.5 ,823 ,4.6 ,827 ,4.6 ,691 ,100.0 
,Wisconsin,"61,000 ","59,654 ",97.8 ,"3,303 ",5.4 ,"2,930 ",4.8 ,"2,235 ",100.0 
,Wyoming,"7,653 ","7,611 ",99.4 ,378 ,4.9 ,419 ,5.5 ,366 ,100.0 
,Puerto Rico,"24,294 ","20,181 ",83.1 ,983 ,4.0 ,"1,263 ",5.2 ,"1,099 ",100.0 
,,,,,,,,,,
,"NOTE: Table reads (for 50 states, District of Columbia, and Puerto Rico totals): Of all 3,324,084 classroom teachers, 3,218,334 (96.8%) met all state licensing/certification requirements.",,,,,,,,,
,Data reported in this table represent 100.0% of responding schools.,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2017-18, available at http://ocrdata.ed.gov.",,,,,,,,,
,,,,,,,,,,
